year_group,count,mean,median,sum,std,growth_rate
1960-1970,32,21903.125,22200.0,700900,2635.793860337632,
1970-1980,40,43715.0,42000.0,1748600,13599.275056093324,99.58339278071051
1980-1990,40,92945.0,87400.0,3717800,19961.796204057064,112.61580693125927
1990-2000,40,139660.0,137500.0,5586400,15831.367759236884,50.260906988003654
2000-2010,40,216255.0,221700.0,8650200,24428.36676006203,54.8439066303881
2010-2020,40,291667.5,301150.0,11666700,35370.87304911217,34.87202608032185
2020>,16,415356.25,418850.0,6645700,24325.596087249327,42.40745026442782
